Fecha,Tasas de interés - Rendimiento del Bono del gobierno peruano a 10 años (en S/)
18Mar08,6.48
19Mar08,6.43
20Mar08,n.d.
21Mar08,n.d.
24Mar08,6.43
25Mar08,6.43
26Mar08,6.41
27Mar08,6.41
28Mar08,6.36
31Mar08,6.32
01Abr08,6.35
02Abr08,6.37
03Abr08,6.33
04Abr08,6.33
07Abr08,6.31
08Abr08,6.31
09Abr08,6.38
10Abr08,6.48
11Abr08,6.50
14Abr08,6.52
15Abr08,6.45
16Abr08,6.48
17Abr08,6.40
18Abr08,6.37
21Abr08,6.33
22Abr08,6.33
23Abr08,6.41
24Abr08,6.42
25Abr08,6.42
28Abr08,6.42
29Abr08,6.42
30Abr08,6.43
01May08,n.d.
02May08,6.43
05May08,6.40
06May08,6.40
07May08,6.40
08May08,6.36
09May08,6.36
12May08,6.37
13May08,6.37
14May08,6.37
15May08,n.d.
16May08,n.d.
19May08,6.37
20May08,6.30
21May08,6.30
22May08,6.30
23May08,6.38
26May08,6.38
27May08,6.38
28May08,6.40
29May08,6.43
30May08,n.d.
02Jun08,n.d.
03Jun08,6.42
04Jun08,n.d.
05Jun08,6.47
06Jun08,6.51
09Jun08,6.51
10Jun08,6.53
11Jun08,6.54
12Jun08,6.54
13Jun08,6.61
16Jun08,6.63
17Jun08,6.64
18Jun08,6.67
19Jun08,6.67
20Jun08,6.68
23Jun08,6.78
24Jun08,6.75
25Jun08,6.77
26Jun08,6.85
27Jun08,6.95
30Jun08,7.00
01Jul08,7.22
02Jul08,7.31
03Jul08,7.40
04Jul08,7.42
07Jul08,7.47
08Jul08,7.56
09Jul08,7.54
10Jul08,7.72
11Jul08,7.69
14Jul08,7.69
15Jul08,7.69
16Jul08,7.69
17Jul08,n.d.
18Jul08,7.73
21Jul08,7.75
22Jul08,7.74
23Jul08,7.66
24Jul08,7.68
25Jul08,7.68
28Jul08,n.d.
29Jul08,n.d.
30Jul08,7.73
31Jul08,7.73
01Ago08,7.74
04Ago08,7.76
05Ago08,7.76
06Ago08,7.77
07Ago08,7.78
08Ago08,7.80
11Ago08,7.81
12Ago08,7.85
13Ago08,7.88
14Ago08,7.95
15Ago08,7.98
18Ago08,7.95
19Ago08,7.92
20Ago08,7.83
