fecha,coloc_sector_privado,coloc_corporativos,coloc_arrendamiento,coloc_titulizacion,saldo_corporativos,saldo_plazo_hasta_3a,saldo_plazo_3a_5a,tasa_referencia,rend_soberano_10a_pen,rend_soberano_10a_usd,embig_peru,tasa_pref_corp_90d_mn,tasa_corp_mas360_mn
2016-03-01,360.51742,339.97465,20.54277,0.0,13985.2072273206,1486.71959,2908.9893339872,4.25,7.139,3.50990476190476,226.82609,5.3779,7.96682877995631
2016-04-01,450.75,0.0,0.0,0.0,14248.5400187664,1905.41964,2879.2611517952,4.25,6.54485714285714,3.22447619047619,210.04762,5.3769,8.02653324572007
2016-05-01,230.0,130.0,0.0,0.0,14367.5998650673,1910.043435,2879.5450797408,4.25,6.26581818181818,3.22086363636364,207.95455,5.4266,8.05332430208037
2016-06-01,812.5662,512.5662,0.0,0.0,14988.7628417275,2050.999595,2997.99996022563,4.25,6.08436363636364,3.06422727272727,209.90909,5.5167,8.05980500628028
2016-07-01,448.97216,436.1,12.87216,0.0,15258.9093389097,2067.52264,2832.51367710987,4.25,5.75652380952381,2.6487619047619,184.19048,5.4174,8.07355987597862
2016-08-01,296.42041,296.42041,0.0,0.0,15530.2693018978,2064.972645,2837.73098434597,4.25,5.63617391304348,2.54117391304348,169.6087,5.0871,8.10525299480707
2016-09-01,228.257,0.0,0.0,78.257,15569.4678981599,2218.27703333333,2826.089200522,4.25,5.79354545454546,2.60722727272727,161.77273,4.9469,8.14204903341092
2016-10-01,1007.60004,712.405,244.77488,0.0,15966.8321005414,2419.57188,2650.06062953547,4.25,5.77085714285714,2.75419047619048,146.52381,4.9397,8.19877047542736
2016-11-01,138.41,0.0,0.0,0.0,16054.8343674033,2507.81591,2583.14817660197,4.25,6.30986363636364,3.41454545454546,167.81818,4.9515,8.23694628022982
2016-12-01,15.0,0.0,0.0,0.0,15874.2581934769,2435.87836,2483.67284042613,4.25,6.44685714285714,3.71609523809524,164.72727,5.1925,8.2550705470513
2017-01-01,576.274,0.0,200.0,165.0,15719.2808908773,2805.59454666667,2370.5651331144,4.25,6.35095454545454,3.49077272727273,157.3,5.1127,8.28179495378865
2017-02-01,212.45,162.45,0.0,0.0,15670.7188311475,2785.35229333333,2211.00820628647,4.25,6.26035,3.3545,152.105263157895,5.0111,8.32931743428592
2017-03-01,519.87,399.87,0.0,0.0,16101.800941203,2729.72616666667,2281.04977324,4.25,6.09739130434783,3.29430434782609,141.086956521739,4.9649,8.37276932880972
2017-04-01,390.9236,371.84,19.0836,0.0,16213.2199804342,2632.58504,2306.00129619413,4.25,5.87055555555556,3.22022222222222,149.444444444444,4.9442,8.44035905120784
2017-05-01,0.0,0.0,0.0,0.0,16107.1324216797,2353.22142,2208.9928939984,4.0,5.71772727272727,3.17468181818182,141.181818181818,4.7097,8.45666595004032
2017-06-01,583.5,553.5,0.0,0.0,16458.5881235656,2394.93916666667,2146.52462026,4.0,5.57905,2.99295,143.5,4.5507,8.454424616211
2017-07-01,431.561,282.142,0.0,0.0,16522.8777035687,2306.89784,2271.7602706592,3.75,5.65947368421053,3.11636842105263,141.9,4.4816,8.44411294629431
2017-08-01,30.5856,0.0,30.5856,0.0,16446.0623563894,2332.48344,2271.7602706592,3.75,5.46204347826087,3.00717391304348,155.391304347826,4.2758,8.43404834891398
2017-09-01,621.2798,560.0,61.2798,0.0,16965.7793944896,2346.23067,2368.5341789517,3.5,5.34190476190476,2.89152380952381,144.0,3.8977,8.44522716285084
2017-10-01,181.8,135.0,0.0,0.0,16666.6009197258,2302.28558333333,2237.9827390575,3.5,5.26331818181818,3.01395454545455,139.619047619048,3.6451,8.42541769425409
2017-11-01,632.688,134.238,0.0,0.0,17101.0709604648,2650.93249666667,2368.5588366633,3.25,5.2997619047619,2.99557142857143,138.809523809524,3.5737,8.42632584501934
2017-12-01,405.88744,183.44644,158.0,0.0,17103.9654016948,2715.15548,2303.2181805364,3.25,5.24947368421053,3.04447368421053,136.15,3.5602,8.40796475027092
2018-01-01,1.91,0.0,0.0,0.0,16627.5289729623,2611.61334,2293.8445016442,3.0,4.81809523809524,3.11365,116.608695652174,3.4641,8.33453950449729
2018-02-01,200.0,200.0,0.0,0.0,16789.911162543,2612.58892,2268.9318594286,3.0,4.7945,3.593,132.2,3.3265,8.332922967143
2018-03-01,119.61256,100.0,19.61256,0.0,16370.6293550029,2599.90835,2276.9023580532,2.75,4.845,3.66215,147.045454545455,3.2356,8.2719700517584
2018-04-01,107.0635,107.0635,0.0,0.0,16473.1068971896,2601.62375,2273.86037873,2.75,5.0242,3.61835,145.238095238095,3.1521,8.18550089578463
2018-05-01,675.041,132.616,0.0,350.0,16592.5652778966,2673.08801,2271.7648469068,2.75,5.47227272727273,3.91371428571429,157.695652173913,3.2427,8.15812519738456
2018-06-01,402.10557,251.54276,11.12781,0.0,16850.0310915699,2966.49077,2092.5702569068,2.75,5.6626,3.8928,163.333333333333,3.4706,8.09929298476305
2018-07-01,826.13349,550.57349,0.0,0.0,17370.8293495625,3042.53691,2188.1702569068,2.75,5.48476190476191,3.7164,150.954545454545,3.6566,8.06241536178339
2018-08-01,140.8365,0.0,24.9315,0.0,17338.7470473477,3044.8379,2271.209049172,2.75,5.4252380952381,3.73752380952381,149.260869565217,3.7944,8.02901926695809
2018-09-01,155.0,0.0,85.0,0.0,17322.9193373345,3125.4229,2256.79315,2.75,5.5175,3.76705263157895,139.9,3.8758,7.9700014831202
2018-10-01,599.34,487.14,0.0,0.0,17779.8260228376,3161.15637666667,2289.5624725,2.75,5.73181818181818,3.97654545454545,142.695652173913,3.9819,7.91051162555102
2018-11-01,341.05,300.0,0.0,0.0,18081.8123521397,3202.74787333333,2240.678565,2.75,5.727,4.0345,156.863636363636,4.123,7.85637030572794
2018-12-01,0.0,0.0,0.0,0.0,17777.6299534362,3140.20637666667,2120.52817875,2.75,5.74363157894737,3.77252631578947,164.809523809524,4.3114,7.82982951832825
2019-01-01,677.335,570.0,0.0,0.0,17704.8602682288,3172.82024,2048.0581499,2.75,5.58772727272727,3.5215,152.391304347826,4.5276,7.77412480756175
2019-02-01,98.698,0.0,0.0,0.0,18172.209324541,3170.38612333333,2008.71357115,2.75,5.4945,3.3507,139.5,4.3563,7.79885572718277
2019-03-01,150.0,0.0,0.0,0.0,18230.098590904,3080.16246666667,2002.92419615,2.75,5.29923809523809,3.15290476190476,135.666666666667,4.0849,7.81020891110979
2019-04-01,178.685,82.8,0.0,0.0,17722.4174882882,2655.17973333333,2055.35401919,2.75,5.2158,3.0446,122.363636363636,4.0403,7.8131751460884
2019-05-01,130.0,130.0,0.0,0.0,17747.8653775391,2657.89613333333,2051.68093419,2.75,5.13735454545455,2.99745454545455,135.695652173913,4.05,7.81182226365403
2019-06-01,26.52398,0.0,26.52398,0.0,17454.3490317829,2533.27426666667,1946.05381044,2.75,4.81719,2.67335,129.15,4.0253,7.83626268381355
2019-07-01,469.31,240.0,0.0,0.0,17737.0077600544,2743.06354,1871.78884794,2.75,4.4401,2.66909523809524,116.130434782609,3.9249,7.77225596262161
2019-08-01,174.0348,5.8548,0.0,0.0,17778.4402286562,2865.1706,1844.54044169,2.5,4.228985,2.34045,127.090909090909,3.7128,7.71228944879112
2019-09-01,573.46692,343.46692,0.0,230.0,17931.1759355987,2714.29792,1838.42195169,2.5,4.15212380952381,2.41766666666667,116.428571428571,3.5263,7.6926466564655
2019-10-01,485.8329,170.8249,0.0,0.0,18202.0622570791,2657.8889,1826.21967919,2.5,4.07454285714286,2.51552380952381,126.913043478261,3.4438,7.65101237137315
2019-11-01,397.6626,182.4072,33.575,0.0,18295.3726501121,2703.341,1836.85119169,2.25,4.23969,2.59395,126.761904761905,3.3523,7.56679301096734
2019-12-01,116.41,19.86,0.0,0.0,18144.9529859186,2677.8824,1908.87466544,2.25,4.3559380952381,2.512,115.909090909091,3.2587,7.44662178370309
2020-01-01,0.0,0.0,0.0,0.0,17653.6311014306,2248.9402,1995.25624,2.25,4.50230909090909,2.40831818181818,113.869565217391,3.2747,7.35923135788744
2020-02-01,82.64045,32.64045,0.0,0.0,17693.0905262704,2335.04845,1966.5246,2.25,4.258095,2.23695,122.2,3.1977,7.35390734329301
2020-03-01,13.76,13.76,0.0,0.0,17606.5399230548,2334.45844,1976.16412,1.25,5.08725909090909,2.65986363636364,248.909090909091,3.0473,7.29802047761045
2020-04-01,0.0,0.0,0.0,0.0,17536.0739540471,2328.89714,1960.52899,0.25,5.0255,2.57965,277.954545454545,2.3516,7.20143184392124
2020-05-01,3.25507,3.25507,0.0,0.0,17511.6241074512,2327.263965,1927.57764,0.25,4.4295,2.3558,222.35,1.4852,5.80260325458287
2020-06-01,0.0,0.0,0.0,0.0,17384.4056304415,2195.54227,1905.81192,0.25,4.39,2.15714285714286,180.136363636364,1.0749,5.00634998054599
2020-07-01,0.9531,0.9531,0.0,0.0,17361.8464702455,2193.146505,1898.12844,0.25,4.24045454545455,1.85740909090909,169.347826086957,0.9011,4.83971287679542
2020-08-01,0.0,0.0,0.0,0.0,17118.6166558833,2160.29449,1898.93192,0.25,4.06714285714286,1.65052380952381,145.636363636364,1.09,4.42307239513293
2020-09-01,118.8,0.0,28.8,0.0,17072.1049847546,2124.4576,1900.3778,0.25,4.18681818181818,1.79659090909091,160.409090909091,1.0285,4.30721669458437
2020-10-01,0.0,0.0,0.0,0.0,17038.8505853663,2124.821385,1853.761775,0.25,4.20545454545454,1.76445454545455,150.181818181818,0.7759,4.1821950360515
2020-11-01,0.0,0.0,0.0,0.0,16594.2834297679,1769.49122,1853.761775,0.25,4.01450476190476,1.78771428571429,147.0,0.6906,4.09957895654608
2020-12-01,592.55,297.81,0.0,0.0,16805.3496916662,1589.46502,1972.6308,0.25,3.63264285714286,1.73285714285714,143.304347826087,0.6189,4.00137293695925
2021-01-01,0.0,0.0,0.0,0.0,16757.2621465784,1549.30444,1973.9376,0.25,3.658,1.81105,131.619047619048,0.6644,3.93054875
2021-02-01,32.3828,0.0,32.3828,0.0,16718.5919294077,1549.59165,2006.9738,0.25,3.9115,2.0384,138.1,0.5929,3.88365747957866
